ip,received,min,avg,max,mdev
152.19.160.1,60,0.688,0.820,1.022,0.069
152.19.253.53,60,0.761,2.680,49.903,6.984
152.19.253.90,60,1.150,1.361,1.625,0.107
152.19.255.65,60,1.261,1.527,2.590,0.173
128.109.19.89,60,4.804,5.119,5.427,0.164
198.71.47.221,60,9.681,10.206,19.624,1.294
162.252.70.121,60,10.595,10.931,12.858,0.424
64.57.29.131,60,11.163,17.022,76.295,13.931
