ip,received,min,avg,max,mdev
152.19.160.1,60,0.723,0.823,0.996,0.066
152.19.253.53,60,0.753,3.643,54.855,9.292
152.19.253.89,60,1.274,1.497,2.551,0.168
152.2.255.65,60,1.291,1.486,1.796,0.116
128.109.1.89,60,4.862,5.129,5.474,0.152
128.109.5.2,60,8.421,11.980,53.557,10.365
152.10.0.71,60,8.638,8.782,10.268,0.217
