ip,received,min,avg,max,mdev
152.19.160.1,60,0.740,0.854,0.994,0.061
152.19.253.53,60,0.761,3.878,35.839,7.518
152.19.253.89,60,1.223,2.044,27.723,3.587
152.2.255.65,60,3.413,5.707,7.740,1.156
128.109.1.89,60,5.082,6.302,7.717,0.705
128.109.9.33,60,8.894,11.218,13.883,1.117
198.71.47.221,60,11.025,13.034,16.464,1.309
162.252.70.121,60,10.761,12.021,14.188,0.825
64.57.29.131,60,11.312,14.849,71.416,10.824
