ip,received,min,avg,max,mdev
152.19.160.1,60,0.700,0.814,0.925,0.050
152.19.253.53,60,0.786,4.151,70.614,10.232
152.19.253.89,60,1.278,1.427,1.610,0.076
152.2.255.65,60,1.270,1.447,1.752,0.119
128.109.1.89,60,4.777,5.137,5.750,0.226
128.109.5.2,60,8.394,10.721,83.882,10.464
152.10.0.71,60,8.595,8.922,10.803,0.424
