ip,received,min,avg,max,mdev
152.19.160.1,60,0.654,0.831,1.003,0.069
152.19.253.53,60,0.722,2.663,39.771,5.774
152.19.253.90,60,1.193,1.378,1.665,0.102
152.19.255.65,60,1.262,1.575,2.919,0.197
128.109.19.89,60,4.785,5.189,6.222,0.262
198.86.53.237,60,14.284,16.336,96.370,10.454
108.170.240.97,0,0,0,0,0
216.239.54.125,0,0,0,0,0
216.239.54.111,0,0,0,0,0
172.217.5.238,60,10.631,10.801,10.973,0.081
