ip,received,min,avg,max,mdev
152.19.160.1,60,0.673,0.816,0.931,0.064
152.19.253.53,60,0.750,2.910,67.684,8.841
152.19.253.89,60,1.289,2.285,26.554,3.775
152.2.255.65,60,1.302,1.561,1.882,0.119
128.109.1.89,60,4.804,5.098,5.563,0.194
128.109.9.33,60,8.065,8.406,8.722,0.158
198.71.47.221,60,9.681,9.982,13.215,0.486
162.252.70.121,60,10.581,11.101,14.057,0.792
64.57.29.131,60,11.211,15.581,80.757,10.765
