ip,received,min,avg,max,mdev
152.19.160.1,60,0.704,0.848,1.043,0.070
152.19.253.53,60,0.714,2.995,35.728,6.691
152.19.253.89,60,1.217,1.604,9.727,1.071
152.2.255.65,60,1.306,1.486,1.705,0.094
128.109.1.89,60,4.817,5.291,13.162,1.045
128.109.9.33,60,8.219,8.472,8.723,0.136
198.71.47.221,60,9.604,9.965,11.400,0.343
162.252.70.121,60,10.622,11.037,13.320,0.590
64.57.29.131,60,11.297,16.578,59.393,11.590
