ip,received,min,avg,max,mdev
152.19.160.1,60,0.708,0.849,0.967,0.060
152.19.253.53,60,0.744,4.299,49.561,9.461
152.19.253.89,60,1.242,1.437,1.787,0.092
152.2.255.65,60,1.274,1.564,1.783,0.106
128.109.1.89,60,4.779,5.182,7.419,0.334
128.109.5.2,60,8.464,10.734,62.693,8.257
152.10.0.71,60,8.579,8.793,10.189,0.302
