ip,received,min,avg,max,mdev
152.19.160.1,60,0.738,0.837,0.980,0.055
152.19.253.53,60,0.732,5.290,57.117,10.759
152.19.253.89,60,1.271,1.468,1.712,0.104
152.2.255.65,60,1.339,1.582,1.993,0.129
128.109.1.89,60,4.815,5.155,5.478,0.175
128.109.9.21,60,5.952,6.445,6.753,0.163
198.86.53.233,60,11.260,11.751,15.600,0.794
108.170.249.67,0,0,0,0,0
108.170.249.76,60,12.059,12.975,22.528,1.750
108.170.249.35,0,0,0,0,0
142.251.51.20,0,0,0,0,0
142.251.51.112,0,0,0,0,0
142.251.51.37,0,0,0,0,0
142.250.208.226,0,0,0,0,0
142.250.209.70,0,0,0,0,0
142.250.236.132,0,0,0,0,0
142.250.236.132,0,0,0,0,0
172.253.75.180,0,0,0,0,0
142.250.236.132,0,0,0,0,0
142.250.236.132,0,0,0,0,0
108.170.232.198,0,0,0,0,0
108.170.246.65,60,10.968,11.139,11.474,0.093
108.170.246.33,60,11.815,12.062,12.784,0.153
108.170.228.151,0,0,0,0,0
108.170.225.173,0,0,0,0,0
172.217.164.174,60,20.145,20.278,20.437,0.067
