ip,received,min,avg,max,mdev
152.19.160.1,60,0.702,0.834,0.972,0.063
152.19.253.53,60,0.739,4.266,56.846,10.117
152.19.253.89,60,1.308,2.850,26.134,4.767
152.2.255.65,60,1.252,1.581,1.888,0.142
128.109.1.89,60,4.730,5.179,6.138,0.235
128.109.9.33,60,8.067,8.457,8.881,0.206
198.71.47.221,60,9.681,10.252,13.070,0.746
162.252.70.121,60,10.590,10.972,15.004,0.614
64.57.29.131,60,11.322,16.250,74.851,13.151
