ip,received,min,avg,max,mdev
152.19.160.1,60,0.686,0.803,0.941,0.057
152.19.253.53,60,0.772,5.409,62.736,12.829
152.19.253.89,60,1.237,2.225,25.040,3.913
152.2.255.65,60,1.313,1.519,2.001,0.121
128.109.1.89,60,4.745,5.151,5.519,0.178
128.109.9.33,60,8.212,8.568,12.635,0.552
198.71.47.221,60,9.604,9.980,11.500,0.345
162.252.70.121,60,10.611,11.033,13.715,0.676
64.57.29.131,60,11.202,15.337,78.888,12.530
