ip,received,min,avg,max,mdev
152.19.160.1,60,0.696,0.858,1.093,0.069
152.19.253.53,59,0.738,2.707,36.851,6.579
152.19.253.89,60,1.241,2.375,27.069,4.315
152.2.255.65,60,1.287,1.597,1.853,0.127
128.109.1.89,60,4.785,5.214,5.651,0.189
128.109.5.2,60,8.480,19.712,259.853,39.972
152.10.0.71,60,8.581,8.802,9.135,0.106
