ip,received,min,avg,max,mdev
152.19.160.1,60,0.725,0.832,0.976,0.053
152.19.253.53,60,0.766,6.512,53.812,12.958
152.19.253.89,60,1.288,2.487,24.490,4.166
152.2.255.65,60,1.236,1.512,2.458,0.169
128.109.1.89,60,4.835,5.145,5.520,0.173
128.109.5.2,60,8.473,9.993,42.766,5.469
152.10.0.71,60,8.602,8.773,10.093,0.186
