ip,received,min,avg,max,mdev
152.19.160.1,60,0.691,0.841,0.988,0.065
152.19.253.53,60,0.734,4.903,59.133,9.629
152.19.253.90,60,1.228,1.952,24.539,3.112
152.19.255.65,60,1.213,1.541,1.954,0.167
128.109.19.89,60,4.821,5.231,5.656,0.163
198.71.47.221,60,9.695,10.043,12.357,0.536
162.252.70.121,60,10.618,11.035,13.586,0.616
64.57.29.131,60,11.193,16.420,81.114,12.771
