ip,received,min,avg,max,mdev
152.19.160.1,60,0.670,0.831,1.012,0.064
152.19.253.53,60,0.773,3.344,64.420,9.165
152.19.253.89,60,1.252,2.418,27.996,4.514
152.2.255.65,60,1.346,1.589,1.977,0.136
128.109.1.89,60,4.768,5.166,5.692,0.196
128.109.5.2,60,8.459,15.620,281.757,35.928
152.10.0.71,60,8.615,8.772,9.356,0.109
