ip,received,min,avg,max,mdev
152.19.160.1,60,0.698,0.830,1.053,0.063
152.19.253.53,60,0.735,2.767,49.366,7.154
152.19.253.90,60,1.143,1.352,1.556,0.088
152.19.255.65,60,1.344,1.557,2.614,0.172
128.109.19.89,60,4.854,5.194,5.614,0.204
198.86.53.237,60,14.279,15.026,18.755,0.970
108.170.246.2,0,0,0,0,0
108.170.246.66,60,11.524,12.842,69.716,7.428
142.251.49.75,0,0,0,0,0
172.253.71.187,0,0,0,0,0
142.251.49.199,0,0,0,0,0
172.253.67.43,0,0,0,0,0
142.250.210.23,0,0,0,0,0
216.239.56.135,0,0,0,0,0
216.239.56.73,0,0,0,0,0
216.239.40.130,0,0,0,0,0
216.239.40.132,0,0,0,0,0
209.85.243.47,0,0,0,0,0
108.170.230.92,0,0,0,0,0
108.170.230.95,0,0,0,0,0
216.239.51.195,0,0,0,0,0
108.170.231.171,0,0,0,0,0
64.233.185.190,60,16.712,16.864,17.185,0.084
