ip,received,min,avg,max,mdev
152.19.160.1,60,0.737,0.846,1.281,0.081
152.19.253.53,60,0.756,4.175,67.195,11.159
152.19.253.89,60,1.246,2.363,27.939,4.152
152.2.255.65,60,1.252,1.500,1.736,0.096
128.109.1.89,60,4.815,5.102,5.480,0.166
128.109.5.2,60,8.409,11.854,85.291,12.096
152.10.0.71,60,8.595,8.727,9.945,0.174
