ip,received,min,avg,max,mdev
152.19.160.1,60,0.691,0.815,1.017,0.060
152.19.253.53,60,0.718,2.228,32.565,4.392
152.19.253.89,60,1.263,2.384,32.376,4.472
152.2.255.65,60,1.348,1.576,1.852,0.101
128.109.1.89,60,4.767,5.122,5.495,0.172
128.109.5.2,60,8.420,18.585,377.404,48.512
152.10.0.71,60,8.574,8.758,9.785,0.199
